ProductName,Stars,Ratings,Reviews,CurrentPrice,MRP,Processor,RAM,Storage,ImageURL
ASUS VivoBook 15 (2022) Core i5 10th Gen,4.3,6319,540,46490,62990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/1/7/-original-imag3ebnzawky4kn.jpeg?q=70
DELL Core i3 11th Gen,0,0,0,45490,53800,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4pxk7k0/computer/n/g/g/inspiron-3511-d560742win9s-laptop-dell-original-imagfjtzjr3hhezv.jpeg?q=70
realme Book (Slim) Core i3 11th Gen,4.4,12850,1900,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70
realme Book (Slim) Core i3 11th Gen,4.4,12850,1900,46990,54999,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70
DELL Vostro Ryzen 5 Hexa Core 5625U,0,0,0,46990,68146,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/e/w/m/vostro-3425-thin-and-light-laptop-dell-original-imagjhbg6gyyc5j8.jpeg?q=70
DELL Inspiron Core i3 11th Gen,4,801,104,45890,55534,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/ku5ufm80/computer/o/3/o/inspiron-3511-thin-and-light-laptop-dell-original-imag7csrvdhnsbdf.jpeg?q=70
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.4,336,35,59990,79999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imaghhe6ttguxzkq.jpeg?q=70
DELL Core i3 12th Gen,4.3,30,3,43990,65052,Processor: Intel i3-1215U (Base- 0.9 GHz & Turbo up to 4.40 GHz) 6 Cores,RAM & Storage: 8GB DDR4 & 512GB SSD,Display: 15.6" FHD WVA AG 120Hz 250 nits Narrow Border,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/n/o/s/-original-imaghzah9mjvukjz.jpeg?q=70
DELL Inspiron Core i3 11th Gen,4.1,87,8,45990,58340,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
DELL Inspiron Ryzen 5 Quad Core 3450U,3.9,125,13,49290,50546,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
acer Nitro 5 Ryzen 5 Hexa Core AMD R5,4.3,245,27,67990,92999,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/y/t/u/-original-imaghhe6ttguxzkq.jpeg?q=70
DELL Core i3 11th Gen,4,3,0,45490,58889,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l572ufk0/computer/d/6/i/inspiron-3511-laptop-dell-original-imagfxggfqqghfee.jpeg?q=70
DELL Vostro Ryzen 5 Quad Core 3500U,4.4,18,2,47090,61740,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kq5iykw0/computer/q/j/2/vostro-3405-thin-and-light-laptop-dell-original-imag48ejkx33d9nn.jpeg?q=70
acer Aspire 5 Core i5 11th Gen,4,569,62,47130,54999,Free upgrade to Windows 11 when available,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,https://rukminim1.flixcart.com/image/312/312/krf91u80/computer/v/n/z/aspire-5-thin-and-light-laptop-acer-original-imag57xyz4zxngmv.jpeg?q=70
Lenovo IdeaPad Slim 3 Core i3 11th Gen,4.2,19,0,33490,59390,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/m/w/-original-imagg5jscr4hcuqc.jpeg?q=70
MSI Modern 14 Core i3 11th Gen,4.2,165,21,48990,55990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/klzhq4w0/computer/s/k/x/na-thin-and-light-laptop-msi-original-imagyzpcazfbmhjp.jpeg?q=70
DELL Inspiron 3511 Core i3 11th Gen,0,0,0,45890,60371,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kylvr0w0/computer/x/k/c/inspiron-laptop-dell-original-imagat4jfka6hv5q.jpeg?q=70
DELL Inspiron Core i3 11th Gen,4.3,423,38,46890,58567,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kt8zb0w0/computer/n/m/v/inspiron-3511-thin-and-light-laptop-dell-original-imag6n5kbmfcgxk6.jpeg?q=70
Lenovo Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,4.2,276,25,33890,48490,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/t/7/15itl05-thin-and-light-laptop-lenovo-original-imagheh5nvy6gq9k.jpeg?q=70
Lenovo IdeaPad Slim 3i (2021) Core i3 11th Gen,4.4,181,31,45000,59500,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kpft18w0/computer/h/q/n/na-thin-and-light-laptop-lenovo-original-imag3zc8tzvqd26n.jpeg?q=70
DELL Ryzen 5 Quad Core,0,0,0,44091,59808,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/0/o/f/d585059win8-thin-and-light-laptop-dell-original-imagkxbhqb3naxjt.jpeg?q=70
HP Core i3 11th Gen,4,4,0,41960,51750,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4bn5ow0/computer/0/s/t/hp-nb-notebook-notebook-hp-original-imagf8sa36dcaqtp.jpeg?q=70
HP intel Celeron Dual Core,4.1,23,2,21990,31139,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,35.56 cm (14 Inch) Touchscreen Display,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/6/p/a/chromebook-chromebook-hp-original-imagkwj8tahdykbd.jpeg?q=70
DELL Core i3 11th Gen,4,21,1,46000,56700,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l4x2rgw0/computer/m/n/n/vostro-3420-notebook-dell-original-imagfpq37h38xebf.jpeg?q=70
HP Ryzen 5 Hexa Core 5500U,4.3,573,53,49400,60900,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/k7531jk0/computer/e/a/h/hp-original-imafpfs893zu5mhb.jpeg?q=70
DELL Inspiron Core i3 11th Gen,3.9,13,0,48190,56000,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
ASUS TUF Gaming F15 Core i5 10th Gen,4.4,5280,523,49990,70990,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l3rmzrk0/computer/s/z/r/-original-imagetgzg4pgszmt.jpeg?q=70
HP 15s Ryzen 5 Quad Core 3500U,4.5,1674,343,45116,48471,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/k7531jk0/computer/e/a/h/hp-original-imafpfs893zu5mhb.jpeg?q=70
HP Ryzen 3 Quad Core 5300U,4.3,2095,264,39790,48294,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/5/k/i/-original-imaggsh8hmh4jmdz.jpeg?q=70
ASUS Vivobook 15 Touch Core i3 11th Gen,4.3,404,52,41990,60990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l44hyfk0/computer/3/c/s/-original-imagf35fjbjagyax.jpeg?q=70
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,4.3,1674,189,44276,68490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/2/3/5/-original-imagg5hhjunrv4e4.jpeg?q=70
ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,4.2,475,40,41990,57990,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l2m78280/computer/z/e/f/-original-imagdx9szs8xz2rk.jpeg?q=70
HP 15s Intel Core i3 11th Gen,4.2,174,13,38490,49631,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,1 TB HDD|256 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/u/m/15s-du3614tu-thin-and-light-laptop-hp-original-imagghe6jcf76wgc.jpeg?q=70
HP 14s Intel Core i3 11th Gen,4.3,3770,337,40990,50696,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l5h2xe80/computer/h/i/p/14s-dy5005tu-thin-and-light-laptop-hp-original-imagg4rc7n75zqkp.jpeg?q=70
Lenovo IdeaPad 3 Core i3 11th Gen,4.2,960,74,33990,60890,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/keaaavk0/computer/c/q/t/lenovo-na-thin-and-light-laptop-original-imafuzt873zgp9xe.jpeg?q=70
DELL Inspiron Ryzen 3 Dual Core 3250U,4.3,79,3,39990,54435,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/l1mh7rk0/computer/z/t/0/inspiron-3515-notebook-dell-original-imagd5jzfjyuze5g.jpeg?q=70
ASUS Vivobook Ultra 14 (2022) Core i3 11th Gen,4.3,424,51,40990,58990,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kcjexe80/computer/f/s/m/asus-original-imaftndw8zg398np.jpeg?q=70
HP Laptop Ryzen 3 Quad Core 5300U,0,0,0,38490,50565,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/3/c/w/15s-eq2213au-thin-and-light-laptop-hp-original-imagm2hcekkvkezb.jpeg?q=70
ASUS Vivobook 15 OLED (2022) Core i3 12th Gen,4.6,44,9,52500,66990,Get unparalleled power and reliability with the new Intel 12th Gen CPU,15.6 Inch Full HD OLED 16:9 aspect ratio, 0.2ms response time, 600nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, TUV Rheinland-certified,Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/b/q/-original-imaghsggzmjg7qgn.jpeg?q=70
HP 15s Ryzen 3 Quad Core 5300U,4.3,280,42,41000,52900,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/k7531jk0/computer/e/a/h/hp-original-imafpfs893zu5mhb.jpeg?q=70
ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U,0,0,0,42990,50990,AMD Ryzen 3 Quad Core Processor,8 GB LPDDR5 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/i/j/5/-original-imagnzg2rwxffejh.jpeg?q=70
DELL Inspiron Core i3 11th Gen,4.2,447,35,39800,57245,Processor-i3-1115G4 Processor upto 4.1 GHz Speed,RAM & Storage: 8GB DDR4, 256GB SSD, WIN 11 + Office H&S 2021,2x USB 3.2 Gen1 ,1x USB 2.0, HDMI 1.4, SD Card reader, Audio jack, 1 M.2 2230/2280 Slot,https://rukminim1.flixcart.com/image/312/312/krdtlzk0/computer/l/k/r/na-laptop-dell-original-imag57f9psmfjcxs.jpeg?q=70
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,4.4,525,69,53490,89490,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kynb6vk0/computer/k/j/a/-original-imagaufne7h4hgbz.jpeg?q=70
acer Extensa Core i5 11th Gen,4,210,16,42990,57999,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/k/j/0/-original-imagnpcf4yrh7jam.jpeg?q=70
DELL Vostro Core i3 11th Gen,4.1,9,1,40690,44427,Intel Core i3 Processor (11th Gen),8 GB DDR4 RAM,256 GB SSD,https://rukminim1.flixcart.com/image/312/312/kzygpzk0/computer/u/n/j/vostro-3400-thin-and-light-laptop-dell-original-imagbuusnyzeqsjh.jpeg?q=70
ASUS Core i3 12th Gen,3.7,12,3,42590,57990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/kyxb9u80/computer/4/y/0/vivobook-laptop-asus-original-imagbfz5wjzf4bde.jpeg?q=70
realme Book (Slim) Core i3 11th Gen,4.4,12850,1900,46990,54999,Stylish & Portable Thin and Light Laptop,14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display),Light Laptop without Optical Disk Drive,https://rukminim1.flixcart.com/image/312/312/ksez24w0/computer/v/b/y/rmnb1001-thin-and-light-laptop-realme-original-imag5zhgw27k4tbb.jpeg?q=70
HP 14s Ryzen 3 Quad Core,4.5,875,177,40650,54999,AMD Ryzen 3 Quad Core Processor,8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/knhsgi80/computer/b/i/2/na-thin-and-light-laptop-hp-original-imag25v8zcapzexv.jpeg?q=70
MSI Core i3 12th Gen,5,4,2,41990,58990,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/p/u/s/-original-imaghvf8pnzzkzt6.jpeg?q=70
acer Aspire Core i3 12th Gen,4.3,56,7,42990,54999,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,512 GB SSD,https://rukminim1.flixcart.com/image/312/312/xif0q/computer/h/d/7/aspire-3-notebook-acer-original-imagg62zgjtdhffs.jpeg?q=70
